X,Y,ENTROPY
636788.680,7972489.570,0.964
635538.680,7972052.070,1.050
638038.680,7979302.080,0.862
637101.180,7980177.080,0.143
639101.180,7972614.570,0.979
639476.180,7981239.580,1.208
635726.180,7977177.070,1.218
634726.180,7971427.060,1.500
638101.180,7974302.070,0.772
634288.680,7971614.570,0.935
636163.680,7972739.570,0.844
635976.180,7979114.580,0.992
636788.680,7977489.570,0.249
635976.180,7970114.560,0.586
637976.180,7973864.570,1.270
637163.680,7975802.070,1.035
634538.680,7970864.560,1.402
635538.680,7973802.070,1.246
638163.680,7980114.580,0.609
639038.680,7973677.070,1.091
635538.680,7971489.560,0.180
635851.180,7970989.560,0.159
634663.680,7970739.560,1.075
635413.680,7970614.560,0.626
637851.180,7974989.570,0.945
638351.180,7976114.570,0.722
635788.680,7969739.560,0.889
639913.680,7980052.080,1.866
637601.180,7974739.570,0.724
636476.180,7978614.580,1.258
637226.180,7978614.580,0.893
639538.680,7983239.580,0.588
636976.180,7979864.580,0.065
637663.680,7977802.070,0.083
640038.690,7980927.080,0.815
639163.680,7979552.080,0.935
638288.680,7971677.060,0.741
639101.180,7981677.080,0.701
638976.180,7972239.570,0.916
639038.680,7979239.580,1.013
638663.680,7975552.070,0.316
636851.180,7976677.070,0.622
637163.680,7979927.080,0.103
637976.180,7971864.570,0.551
638726.180,7981677.080,1.281
635976.180,7972739.570,1.276
637413.680,7972364.570,1.191
637413.680,7972489.570,1.136
635663.680,7971802.070,0.381
636476.180,7973864.570,1.548
636351.180,7979927.080,0.157
635726.180,7970177.060,0.478
636038.680,7979677.080,0.093
637101.180,7978427.080,0.423
638788.680,7979739.580,0.620
636163.680,7979614.580,0.350
638288.680,7977802.070,1.140
637538.680,7972177.070,0.678
639288.680,7975552.070,0.942
636976.180,7979302.080,1.155
636913.680,7977927.070,0.743
637288.680,7977239.570,0.109
639038.680,7982302.080,0.349
635726.180,7974114.570,0.883
639163.680,7972864.570,0.974
639476.180,7982677.080,0.770
635976.180,7978427.080,1.124
636038.680,7976239.570,1.074
639163.680,7977989.570,0.981
635913.680,7978177.080,1.742
637288.680,7974677.070,0.508
